Waiting for logger
Logger started
Register: tagionwave logger

Register: heartbeat logger

Register: local-tagion logger

Register: discovery logger

Register: discovery-internal logger

Register: dart.sync logger

Register: tagion.dart logger

1673362826 | ERROR | dart.sync: Connection failed with code: InternalError
1673362826 | ERROR | dart.sync: Connection failed with code: InternalError
1673362826 | ERROR | dart.sync: Connection failed with code: InternalError
1673362826 | ERROR | dart.sync: Connection failed with code: InternalError
1673362826 | ERROR | dart.sync: Connection failed with code: InternalError
1673362826 | ERROR | dart.sync: Connection failed with code: InternalError
1673362826 | ERROR | dart.sync: Connection failed with code: InternalError
1673362826 | ERROR | dart.sync: Connection failed with code: InternalError
Register: epoch-dump-task logger

Register: transcript logger

Register: collector logger

Register: trans_server logger

Register: trans_response logger

1673362828 | WARN  | local-tagion: Sender not found
1673362830 | WARN  | local-tagion: Sender not found
1673362830 | WARN  | local-tagion: Sender not found
1673362832 | WARN  | local-tagion: Sender not found
1673362834 | WARN  | local-tagion: Sender not found
1673362835 | WARN  | local-tagion: Sender not found
1673362836 | WARN  | local-tagion: Sender not found
1673362837 | WARN  | local-tagion: Sender not found
1673362838 | WARN  | local-tagion: Sender not found
1673362839 | WARN  | local-tagion: Sender not found
1673362841 | WARN  | local-tagion: Sender not found
1673362843 | WARN  | local-tagion: Sender not found
1673362848 | WARN  | local-tagion: Sender not found
1673362849 | WARN  | local-tagion: Sender not found
1673362852 | WARN  | local-tagion: Sender not found
1673362853 | WARN  | local-tagion: Sender not found
1673362854 | WARN  | local-tagion: Sender not found
1673362854 | WARN  | local-tagion: Sender not found
1673362857 | WARN  | local-tagion: Sender not found
1673362858 | WARN  | local-tagion: Sender not found
1673362862 | WARN  | local-tagion: Sender not found
1673362865 | WARN  | local-tagion: Sender not found
1673362866 | WARN  | local-tagion: Sender not found
1673362866 | WARN  | local-tagion: Sender not found
1673362867 | WARN  | local-tagion: Sender not found
1673362870 | WARN  | local-tagion: Sender not found
1673362872 | WARN  | local-tagion: Sender not found
1673362873 | WARN  | local-tagion: Sender not found
1673362874 | WARN  | local-tagion: Sender not found
1673362874 | WARN  | local-tagion: Sender not found
1673362878 | WARN  | local-tagion: Sender not found
1673362878 | WARN  | local-tagion: Sender not found
1673362881 | WARN  | local-tagion: Sender not found
1673362883 | WARN  | local-tagion: Sender not found
1673362886 | WARN  | local-tagion: Sender not found
1673362890 | WARN  | local-tagion: Sender not found
1673362893 | WARN  | local-tagion: Sender not found
1673362894 | WARN  | local-tagion: Sender not found
1673362896 | WARN  | local-tagion: Sender not found
1673362897 | WARN  | local-tagion: Sender not found
1673362898 | WARN  | local-tagion: Sender not found
1673362898 | WARN  | local-tagion: Sender not found
1673362899 | WARN  | local-tagion: Sender not found
1673362901 | WARN  | local-tagion: Sender not found
1673362902 | WARN  | local-tagion: Sender not found
1673362902 | WARN  | local-tagion: Sender not found
1673362903 | WARN  | local-tagion: Sender not found
1673362904 | WARN  | local-tagion: Sender not found
1673362906 | WARN  | local-tagion: Sender not found
1673362908 | WARN  | local-tagion: Sender not found
1673362910 | WARN  | local-tagion: Sender not found
1673362914 | WARN  | local-tagion: Sender not found
1673362915 | WARN  | local-tagion: Sender not found
1673362916 | WARN  | local-tagion: Sender not found
1673362918 | WARN  | local-tagion: Sender not found
1673362919 | WARN  | local-tagion: Sender not found
1673362921 | WARN  | local-tagion: Sender not found
1673362922 | WARN  | local-tagion: Sender not found
1673362929 | WARN  | local-tagion: Sender not found
1673362936 | WARN  | local-tagion: Sender not found
1673362937 | WARN  | local-tagion: Sender not found
1673362938 | WARN  | local-tagion: Sender not found
1673362938 | WARN  | local-tagion: Sender not found
1673362939 | WARN  | local-tagion: Sender not found
1673362940 | WARN  | local-tagion: Sender not found
1673362941 | WARN  | local-tagion: Sender not found
1673362942 | WARN  | local-tagion: Sender not found
1673362942 | WARN  | local-tagion: Sender not found
1673362943 | WARN  | local-tagion: Sender not found
1673362944 | WARN  | local-tagion: Sender not found
1673362945 | WARN  | local-tagion: Sender not found
1673362946 | WARN  | local-tagion: Sender not found
1673362946 | WARN  | local-tagion: Sender not found
1673362947 | WARN  | local-tagion: Sender not found
1673362948 | WARN  | local-tagion: Sender not found
1673362950 | WARN  | local-tagion: Sender not found
1673362950 | WARN  | local-tagion: Sender not found
1673362952 | WARN  | local-tagion: Sender not found
1673362953 | WARN  | local-tagion: Sender not found
1673362954 | WARN  | local-tagion: Sender not found
1673362955 | WARN  | local-tagion: Sender not found
1673362956 | WARN  | local-tagion: Sender not found
1673362957 | WARN  | local-tagion: Sender not found
1673362959 | WARN  | local-tagion: Sender not found
1673362960 | WARN  | local-tagion: Sender not found
1673362963 | WARN  | local-tagion: Sender not found
1673362964 | WARN  | local-tagion: Sender not found
1673362965 | WARN  | local-tagion: Sender not found
1673362966 | WARN  | local-tagion: Sender not found
1673362968 | WARN  | local-tagion: Sender not found
1673362969 | WARN  | local-tagion: Sender not found
1673362970 | WARN  | local-tagion: Sender not found
1673362970 | WARN  | local-tagion: Sender not found
1673362971 | WARN  | local-tagion: Sender not found
1673362972 | WARN  | local-tagion: Sender not found
